fecha,cod_local,sku,nombre_producto,clase,unidades,venta_neta,costo
2026-02-01,T001,SKU001,Polera Manga Corta,Poleras,3,92346,43500
2026-02-01,T001,SKU002,Jeans Slim Fit,Jeans,3,157302,72000
2026-02-01,T001,SKU004,Parka Impermeable,Parkas,5,643050,310000
2026-02-02,T001,SKU001,Polera Manga Corta,Poleras,1,30017,14500
2026-02-02,T001,SKU002,Jeans Slim Fit,Jeans,2,95432,48000
2026-02-02,T001,SKU003,Zapatilla Trail Runner,Calzado,1,89753,42000
2026-02-03,T001,SKU001,Polera Manga Corta,Poleras,1,31461,14500
2026-02-03,T001,SKU002,Jeans Slim Fit,Jeans,2,97972,48000
2026-02-03,T001,SKU007,Mochila Urbana 25L,Accesorios,2,88794,36000
2026-02-04,T001,SKU001,Polera Manga Corta,Poleras,3,90723,43500
2026-02-04,T001,SKU002,Jeans Slim Fit,Jeans,3,153348,72000
2026-02-04,T001,SKU004,Parka Impermeable,Parkas,2,272122,124000
2026-02-05,T001,SKU001,Polera Manga Corta,Poleras,2,58002,29000
2026-02-05,T001,SKU002,Jeans Slim Fit,Jeans,2,101176,48000
2026-02-05,T001,SKU004,Parka Impermeable,Parkas,3,371700,186000
2026-02-05,T001,SKU006,Polera Térmica,Poleras,1,34338,17000
2026-02-05,T001,SKU007,Mochila Urbana 25L,Accesorios,3,133758,54000
2026-02-06,T001,SKU001,Polera Manga Corta,Poleras,4,124432,58000
2026-02-06,T001,SKU002,Jeans Slim Fit,Jeans,3,143403,72000
2026-02-06,T001,SKU003,Zapatilla Trail Runner,Calzado,2,176830,84000
2026-02-06,T001,SKU007,Mochila Urbana 25L,Accesorios,4,177120,72000
2026-02-07,T001,SKU001,Polera Manga Corta,Poleras,5,153260,72500
2026-02-07,T001,SKU002,Jeans Slim Fit,Jeans,4,203824,96000
2026-02-07,T001,SKU004,Parka Impermeable,Parkas,3,392235,186000
2026-02-07,T001,SKU005,Short Deportivo,Shorts,5,97925,47500
2026-02-07,T001,SKU006,Polera Térmica,Poleras,3,107121,51000
2026-02-08,T001,SKU001,Polera Manga Corta,Poleras,5,154375,72500
2026-02-08,T001,SKU002,Jeans Slim Fit,Jeans,3,144297,72000
2026-02-09,T001,SKU001,Polera Manga Corta,Poleras,1,29353,14500
2026-02-09,T001,SKU002,Jeans Slim Fit,Jeans,2,98442,48000
2026-02-09,T001,SKU004,Parka Impermeable,Parkas,2,252234,124000
2026-02-09,T001,SKU008,Gorro Bucket,Accesorios,2,30240,11000
2026-02-10,T001,SKU001,Polera Manga Corta,Poleras,1,30499,14500
2026-02-10,T001,SKU002,Jeans Slim Fit,Jeans,2,101358,48000
2026-02-10,T001,SKU003,Zapatilla Trail Runner,Calzado,2,183892,84000
2026-02-10,T001,SKU004,Parka Impermeable,Parkas,2,247114,124000
2026-02-11,T001,SKU001,Polera Manga Corta,Poleras,3,89766,43500
2026-02-11,T001,SKU002,Jeans Slim Fit,Jeans,1,52309,24000
2026-02-11,T001,SKU006,Polera Térmica,Poleras,2,70224,34000
2026-02-12,T001,SKU001,Polera Manga Corta,Poleras,3,87045,43500
2026-02-12,T001,SKU002,Jeans Slim Fit,Jeans,3,145107,72000
2026-02-13,T001,SKU001,Polera Manga Corta,Poleras,4,124476,58000
2026-02-13,T001,SKU002,Jeans Slim Fit,Jeans,2,100658,48000
2026-02-13,T001,SKU003,Zapatilla Trail Runner,Calzado,4,352204,168000
2026-02-14,T001,SKU001,Polera Manga Corta,Poleras,4,116272,58000
2026-02-14,T001,SKU002,Jeans Slim Fit,Jeans,2,96604,48000
2026-02-14,T001,SKU004,Parka Impermeable,Parkas,3,399195,186000
2026-02-14,T001,SKU008,Gorro Bucket,Accesorios,5,77925,27500
2026-02-01,T004,SKU003,Zapatilla Trail Runner,Calzado,2,183026,84000
2026-02-01,T004,SKU004,Parka Impermeable,Parkas,2,250636,124000
2026-02-01,T004,SKU006,Polera Térmica,Poleras,3,102192,51000
2026-02-02,T004,SKU003,Zapatilla Trail Runner,Calzado,1,91372,42000
2026-02-02,T004,SKU004,Parka Impermeable,Parkas,2,248596,124000
2026-02-02,T004,SKU005,Short Deportivo,Shorts,1,19800,9500
2026-02-03,T004,SKU002,Jeans Slim Fit,Jeans,3,146895,72000
2026-02-03,T004,SKU003,Zapatilla Trail Runner,Calzado,2,174924,84000
2026-02-03,T004,SKU004,Parka Impermeable,Parkas,1,125481,62000
2026-02-04,T004,SKU003,Zapatilla Trail Runner,Calzado,2,174910,84000
2026-02-04,T004,SKU004,Parka Impermeable,Parkas,1,133301,62000
2026-02-04,T004,SKU006,Polera Térmica,Poleras,2,71404,34000
2026-02-04,T004,SKU007,Mochila Urbana 25L,Accesorios,2,86036,36000
2026-02-05,T004,SKU003,Zapatilla Trail Runner,Calzado,1,88443,42000
2026-02-05,T004,SKU004,Parka Impermeable,Parkas,2,250002,124000
2026-02-05,T004,SKU005,Short Deportivo,Shorts,2,38344,19000
2026-02-06,T004,SKU003,Zapatilla Trail Runner,Calzado,2,179302,84000
2026-02-06,T004,SKU004,Parka Impermeable,Parkas,4,531568,248000
2026-02-07,T004,SKU001,Polera Manga Corta,Poleras,3,86043,43500
2026-02-07,T004,SKU003,Zapatilla Trail Runner,Calzado,5,430555,210000
2026-02-07,T004,SKU004,Parka Impermeable,Parkas,5,619515,310000
2026-02-08,T004,SKU003,Zapatilla Trail Runner,Calzado,5,444660,210000
2026-02-08,T004,SKU004,Parka Impermeable,Parkas,5,676385,310000
2026-02-09,T004,SKU003,Zapatilla Trail Runner,Calzado,1,90325,42000
2026-02-09,T004,SKU004,Parka Impermeable,Parkas,2,265902,124000
2026-02-09,T004,SKU005,Short Deportivo,Shorts,1,19035,9500
2026-02-09,T004,SKU006,Polera Térmica,Poleras,2,70290,34000
2026-02-10,T004,SKU001,Polera Manga Corta,Poleras,2,58634,29000
2026-02-10,T004,SKU003,Zapatilla Trail Runner,Calzado,2,173010,84000
2026-02-10,T004,SKU004,Parka Impermeable,Parkas,2,257880,124000
2026-02-10,T004,SKU007,Mochila Urbana 25L,Accesorios,1,43194,18000
2026-02-10,T004,SKU008,Gorro Bucket,Accesorios,2,30588,11000
2026-02-11,T004,SKU001,Polera Manga Corta,Poleras,2,59392,29000
2026-02-11,T004,SKU002,Jeans Slim Fit,Jeans,1,51808,24000
2026-02-11,T004,SKU003,Zapatilla Trail Runner,Calzado,1,90025,42000
2026-02-11,T004,SKU004,Parka Impermeable,Parkas,2,268188,124000
2026-02-12,T004,SKU003,Zapatilla Trail Runner,Calzado,1,91431,42000
2026-02-12,T004,SKU004,Parka Impermeable,Parkas,2,254792,124000
2026-02-12,T004,SKU005,Short Deportivo,Shorts,3,62247,28500
2026-02-13,T004,SKU003,Zapatilla Trail Runner,Calzado,4,366124,168000
2026-02-13,T004,SKU004,Parka Impermeable,Parkas,4,510532,248000
2026-02-13,T004,SKU006,Polera Térmica,Poleras,3,107640,51000
2026-02-14,T004,SKU003,Zapatilla Trail Runner,Calzado,5,468610,210000
2026-02-14,T004,SKU004,Parka Impermeable,Parkas,4,544280,248000
2026-02-14,T004,SKU006,Polera Térmica,Poleras,3,101853,51000
2026-02-01,T007,SKU002,Jeans Slim Fit,Jeans,4,193768,96000
2026-02-01,T007,SKU003,Zapatilla Trail Runner,Calzado,4,363664,168000
2026-02-01,T007,SKU005,Short Deportivo,Shorts,2,41026,19000
2026-02-01,T007,SKU006,Polera Térmica,Poleras,4,140780,68000
2026-02-02,T007,SKU003,Zapatilla Trail Runner,Calzado,2,188296,84000
2026-02-02,T007,SKU004,Parka Impermeable,Parkas,3,389145,186000
2026-02-02,T007,SKU005,Short Deportivo,Shorts,1,20198,9500
2026-02-02,T007,SKU006,Polera Térmica,Poleras,1,36442,17000
2026-02-03,T007,SKU004,Parka Impermeable,Parkas,2,259908,124000
2026-02-03,T007,SKU005,Short Deportivo,Shorts,1,20952,9500
2026-02-03,T007,SKU006,Polera Térmica,Poleras,2,72356,34000
2026-02-04,T007,SKU003,Zapatilla Trail Runner,Calzado,1,87837,42000
2026-02-04,T007,SKU005,Short Deportivo,Shorts,2,39650,19000
2026-02-04,T007,SKU006,Polera Térmica,Poleras,1,34394,17000
2026-02-05,T007,SKU004,Parka Impermeable,Parkas,3,408162,186000
2026-02-05,T007,SKU005,Short Deportivo,Shorts,2,39942,19000
2026-02-05,T007,SKU006,Polera Térmica,Poleras,1,36022,17000
2026-02-05,T007,SKU007,Mochila Urbana 25L,Accesorios,3,134811,54000
2026-02-06,T007,SKU003,Zapatilla Trail Runner,Calzado,2,186218,84000
2026-02-06,T007,SKU005,Short Deportivo,Shorts,3,61554,28500
2026-02-06,T007,SKU006,Polera Térmica,Poleras,3,108564,51000
2026-02-06,T007,SKU007,Mochila Urbana 25L,Accesorios,3,128343,54000
2026-02-07,T007,SKU005,Short Deportivo,Shorts,4,79860,38000
2026-02-07,T007,SKU006,Polera Térmica,Poleras,2,70340,34000
2026-02-07,T007,SKU007,Mochila Urbana 25L,Accesorios,4,175904,72000
2026-02-08,T007,SKU001,Polera Manga Corta,Poleras,4,122044,58000
2026-02-08,T007,SKU004,Parka Impermeable,Parkas,2,250852,124000
2026-02-08,T007,SKU005,Short Deportivo,Shorts,2,40084,19000
2026-02-08,T007,SKU006,Polera Térmica,Poleras,4,136700,68000
2026-02-09,T007,SKU004,Parka Impermeable,Parkas,2,269022,124000
2026-02-09,T007,SKU005,Short Deportivo,Shorts,2,41412,19000
2026-02-09,T007,SKU006,Polera Térmica,Poleras,2,67134,34000
2026-02-10,T007,SKU001,Polera Manga Corta,Poleras,1,29004,14500
2026-02-10,T007,SKU005,Short Deportivo,Shorts,2,41410,19000
2026-02-10,T007,SKU006,Polera Térmica,Poleras,1,35088,17000
2026-02-10,T007,SKU007,Mochila Urbana 25L,Accesorios,1,46646,18000
2026-02-11,T007,SKU002,Jeans Slim Fit,Jeans,1,52117,24000
2026-02-11,T007,SKU005,Short Deportivo,Shorts,1,20847,9500
2026-02-11,T007,SKU006,Polera Térmica,Poleras,2,73208,34000
2026-02-12,T007,SKU003,Zapatilla Trail Runner,Calzado,1,87654,42000
2026-02-12,T007,SKU005,Short Deportivo,Shorts,2,41564,19000
2026-02-12,T007,SKU006,Polera Térmica,Poleras,2,71768,34000
2026-02-12,T007,SKU007,Mochila Urbana 25L,Accesorios,3,137994,54000
2026-02-13,T007,SKU002,Jeans Slim Fit,Jeans,3,155049,72000
2026-02-13,T007,SKU005,Short Deportivo,Shorts,4,79132,38000
2026-02-13,T007,SKU006,Polera Térmica,Poleras,4,133376,68000
2026-02-13,T007,SKU007,Mochila Urbana 25L,Accesorios,4,179788,72000
2026-02-14,T007,SKU005,Short Deportivo,Shorts,2,40454,19000
2026-02-14,T007,SKU006,Polera Térmica,Poleras,5,178675,85000
2026-02-14,T007,SKU007,Mochila Urbana 25L,Accesorios,2,91884,36000
2026-02-01,T010,SKU003,Zapatilla Trail Runner,Calzado,2,176528,84000
2026-02-01,T010,SKU005,Short Deportivo,Shorts,2,38730,19000
2026-02-01,T010,SKU007,Mochila Urbana 25L,Accesorios,4,178304,72000
2026-02-01,T010,SKU008,Gorro Bucket,Accesorios,2,29542,11000
2026-02-02,T010,SKU001,Polera Manga Corta,Poleras,2,58926,29000
2026-02-02,T010,SKU003,Zapatilla Trail Runner,Calzado,1,86252,42000
2026-02-02,T010,SKU007,Mochila Urbana 25L,Accesorios,2,87006,36000
2026-02-02,T010,SKU008,Gorro Bucket,Accesorios,1,14448,5500
2026-02-03,T010,SKU003,Zapatilla Trail Runner,Calzado,2,178558,84000
2026-02-03,T010,SKU005,Short Deportivo,Shorts,1,19483,9500
2026-02-03,T010,SKU007,Mochila Urbana 25L,Accesorios,2,87240,36000
2026-02-03,T010,SKU008,Gorro Bucket,Accesorios,1,14697,5500
2026-02-04,T010,SKU007,Mochila Urbana 25L,Accesorios,3,139821,54000
2026-02-04,T010,SKU008,Gorro Bucket,Accesorios,3,43332,16500
2026-02-05,T010,SKU003,Zapatilla Trail Runner,Calzado,2,188340,84000
2026-02-05,T010,SKU005,Short Deportivo,Shorts,3,59916,28500
2026-02-05,T010,SKU007,Mochila Urbana 25L,Accesorios,2,88864,36000
2026-02-05,T010,SKU008,Gorro Bucket,Accesorios,3,44487,16500
2026-02-06,T010,SKU001,Polera Manga Corta,Poleras,3,90798,43500
2026-02-06,T010,SKU007,Mochila Urbana 25L,Accesorios,3,134139,54000
2026-02-06,T010,SKU008,Gorro Bucket,Accesorios,2,30558,11000
2026-02-07,T010,SKU006,Polera Térmica,Poleras,4,142972,68000
2026-02-07,T010,SKU007,Mochila Urbana 25L,Accesorios,5,215365,90000
2026-02-07,T010,SKU008,Gorro Bucket,Accesorios,5,74790,27500
2026-02-08,T010,SKU007,Mochila Urbana 25L,Accesorios,3,140307,54000
2026-02-08,T010,SKU008,Gorro Bucket,Accesorios,4,60788,22000
2026-02-09,T010,SKU001,Polera Manga Corta,Poleras,2,60924,29000
2026-02-09,T010,SKU004,Parka Impermeable,Parkas,2,264592,124000
2026-02-09,T010,SKU007,Mochila Urbana 25L,Accesorios,2,89354,36000
2026-02-09,T010,SKU008,Gorro Bucket,Accesorios,1,14628,5500
2026-02-10,T010,SKU007,Mochila Urbana 25L,Accesorios,2,90776,36000
2026-02-10,T010,SKU008,Gorro Bucket,Accesorios,2,29514,11000
2026-02-11,T010,SKU001,Polera Manga Corta,Poleras,1,29738,14500
2026-02-11,T010,SKU003,Zapatilla Trail Runner,Calzado,3,260295,126000
2026-02-11,T010,SKU006,Polera Térmica,Poleras,2,69812,34000
2026-02-11,T010,SKU007,Mochila Urbana 25L,Accesorios,2,91750,36000
2026-02-11,T010,SKU008,Gorro Bucket,Accesorios,2,29380,11000
2026-02-12,T010,SKU002,Jeans Slim Fit,Jeans,3,152187,72000
2026-02-12,T010,SKU004,Parka Impermeable,Parkas,3,379983,186000
2026-02-12,T010,SKU005,Short Deportivo,Shorts,1,20109,9500
2026-02-12,T010,SKU007,Mochila Urbana 25L,Accesorios,2,89124,36000
2026-02-12,T010,SKU008,Gorro Bucket,Accesorios,1,15200,5500
2026-02-13,T010,SKU002,Jeans Slim Fit,Jeans,3,145428,72000
2026-02-13,T010,SKU006,Polera Térmica,Poleras,4,144280,68000
2026-02-13,T010,SKU007,Mochila Urbana 25L,Accesorios,2,86396,36000
2026-02-13,T010,SKU008,Gorro Bucket,Accesorios,4,58080,22000
2026-02-14,T010,SKU003,Zapatilla Trail Runner,Calzado,5,451195,210000
2026-02-14,T010,SKU007,Mochila Urbana 25L,Accesorios,4,177220,72000
2026-02-14,T010,SKU008,Gorro Bucket,Accesorios,5,75825,27500
